latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.44097652,-70.76006759,49.2938,0.7362,47RFH65Q+JX3X,Z5
-33.44004844,-70.7706605,40.6019,0.7321,47RFH65H+XPP5,Z5
-33.44446763,-70.76030445,9.3824,0.7411,47RFH64Q+6V87,Z5
-33.43484352,-70.76616842,107.4848,0.8269,47RFH68M+3G88,Z5
-33.43024159,-70.7649005,6.896,0.6583,47RFH69P+W256,Z5
-33.43142484,-70.76130082,214.4409,0.7993,47RFH69Q+CFP3,Z5
-33.43165138,-70.76710822,23.1402,0.7142,47RFH69M+85JW,Z5
-33.44788358,-70.77488473,20.9795,0.7577,47RFH62G+R2XP,Z5
-33.46803764,-70.7604103,16.3564,0.6572,47RFG6JQ+QRPH,Z5
-33.43737338,-70.7661911,28.8631,0.7335,47RFH67M+3G35,Z5
-33.46211823,-70.76163315,130.4879,0.8221,47RFG6QQ+5858,Z5
-33.44970384,-70.7836892,56.8398,0.8626,47RFH628+4G7X,Z5
-33.44192953,-70.76096667,33.94,0.8113,47RFH65Q+6JFR,Z5
-33.43420746,-70.77847022,6.9264,0.6607,47RFH68C+8J6Q,Z5
-33.45167941,-70.76984279,18.409,0.6772,47RFG6XJ+83FR,Z5
-33.44487026,-70.76124341,43.5992,0.6597,47RFH64Q+3G22,Z5
-33.43763523,-70.76078578,161.9671,0.7756,47RFH66Q+WMWH,Z5
-33.45360134,-70.76552976,44.7291,0.7189,47RFG6WM+HQ5R,Z5
-33.44369007,-70.76146288,16.2592,0.8609,47RFH64Q+GCF6,Z5
-33.46296308,-70.76309105,708.3347,0.8555,47RFG6PP+RQ7C,Z5
-33.4493318,-70.76662066,133.838,0.779,47RFH62M+796J,Z5
-33.44154486,-70.77185775,11.7711,0.6617,47RFH65H+97J8,Z5
-33.44248054,-70.77217143,159.0202,0.8045,47RFH65H+244P,Z5
-33.45567354,-70.76516273,18.8754,0.6528,47RFG6VM+PWP5,Z5
-33.45610088,-70.79436391,1161.5673,0.9219,47RFG6V4+H72V,Z5
-33.43036692,-70.76803102,113.5382,0.8379,47RFH69J+VQ56,Z5
-33.45655404,-70.77532857,7.7526,0.691,47RFG6VF+9VFV,Z5
-33.43194563,-70.76618199,150.3893,0.7394,47RFH69M+6GG2,Z5
-33.45210273,-70.76754433,105.3374,0.8986,47RFG6XJ+5X4W,Z5
-33.43423523,-70.76165263,134.1344,0.7535,47RFH68Q+885C,Z5
-33.4550967,-70.7610481,28.0437,0.6701,47RFG6VQ+XH83,Z5
-33.4582849,-70.76353552,6.4468,0.6665,47RFG6RP+MHPQ,Z5
-33.44126807,-70.76841551,441.5539,0.8418,47RFH65J+FJW8,Z5
-33.43687367,-70.76297503,188.3427,0.8615,47RFH67P+7R25,Z5
-33.44557367,-70.78329273,34.5947,0.652,47RFH638+QMG4,Z5
-33.44115644,-70.7720157,74.5228,0.8757,47RFH65H+G5QM,Z5
-33.43548168,-70.76469341,211.3613,0.7919,47RFH67P+R43Q,Z5
-33.43381284,-70.7634457,99.1395,0.874,47RFH68P+FJFG,Z5
-33.45788433,-70.76778579,756.7425,0.911,47RFG6RJ+RVWQ,Z5
-33.43365602,-70.76096191,8.8183,0.7002,47RFH68Q+GJMJ,Z5
-33.43250036,-70.76745554,40.0261,0.7462,47RFH68M+X2VV,Z5
-33.43382219,-70.77579742,88.9356,0.8066,47RFH68F+FMG3,Z5
-33.45259484,-70.78767615,73.3901,0.8674,47RFG6W6+XW87,Z5
-33.45432941,-70.76273786,49.3602,0.7398,47RFG6WP+7W6V,Z5
-33.43991741,-70.76202242,53.2853,0.774,47RFH66Q+25Q7,Z5
-33.45756346,-70.76432869,27.4861,0.6688,47RFG6RP+X7FF,Z5
-33.43888692,-70.77228496,37.6517,0.7211,47RFH66H+C3WH,Z5
-33.46605585,-70.7603773,110.886,0.8518,47RFG6MQ+HRHQ,Z5
-33.4340652,-70.76876852,41.5782,0.6522,47RFH68J+9FH7,Z5
-33.43829353,-70.77137764,70.7281,0.8711,47RFH66H+MCQ9,Z5
-33.43340033,-70.76240012,63.2981,0.7086,47RFH68Q+J2QR,Z5
-33.46174381,-70.76472481,37.3234,0.8613,47RFG6QP+8429,Z5
-33.44271989,-70.76082835,16.5129,0.7254,47RFH64Q+WM77,Z5
-33.43974685,-70.76003709,12.9071,0.6782,47RFH66Q+4X45,Z5
-33.43430733,-70.77314781,107.6224,0.8542,47RFH68G+7PHM,Z5
-33.45205818,-70.7701236,52.2224,0.7987,47RFG6XH+5XCJ,Z5
-33.44065506,-70.76764873,74.8458,0.7682,47RFH65J+PWQJ,Z5
-33.44470581,-70.76601483,49.2018,0.6514,47RFH64M+4H9P,Z5
-33.43107878,-70.76041528,317.834,0.8511,47RFH69Q+HR8W,Z5
-33.43161409,-70.76631751,8.6393,0.7337,47RFH69M+9F3H,Z5
-33.44575685,-70.76026673,44.7468,0.8283,47RFH63Q+MVXM,Z5
-33.43598476,-70.76691835,72.087,0.7103,47RFH67M+J64P,Z5
-33.45919594,-70.7659785,27.9328,0.6944,47RFG6RM+8JC4,Z5
-33.43219033,-70.77163454,80.3322,0.8772,47RFH69H+48H8,Z5
-33.44408261,-70.76096035,417.346,0.7935,47RFH64Q+9J7M,Z5
-33.46494287,-70.7612243,145.2775,0.8018,47RFG6PQ+2GC9,Z5
-33.43188914,-70.76762579,142.2447,0.748,47RFH69J+6WXH,Z5
-33.44385695,-70.77335924,11.0538,0.7319,47RFH64G+FM2P,Z5
-33.43745384,-70.76816343,31.4194,0.8068,47RFH67J+2P8X,Z5
-33.45558407,-70.76384748,22.1425,0.7096,47RFG6VP+QF6Q,Z5
-33.45226022,-70.76512391,101.7155,0.8312,47RFG6XM+3XRC,Z5
-33.43177079,-70.77003764,151.0662,0.7361,47RFH69H+7XW5,Z5
-33.45088201,-70.76650432,188.9654,0.7671,47RFG6XM+J9XQ,Z5
-33.43922531,-70.76554911,96.0516,0.7692,47RFH66M+8Q4V,Z5
-33.44103358,-70.77601984,19.7859,0.6828,47RFH65F+HHQM,Z5
-33.43647234,-70.76007648,11.432,0.7183,47RFH67Q+CX74,Z5
-33.4348589,-70.76939431,111.858,0.812,47RFH68J+365M,Z5
-33.44591713,-70.76025229,17.3359,0.663,47RFH63Q+JVQ9,Z5
-33.43487931,-70.7787697,74.3069,0.8793,47RFH68C+2FXV,Z5
-33.4655618,-70.77200777,128.9609,0.808,47RFG6MH+Q5HH,Z5
-33.46187375,-70.76218201,121.1332,0.8409,47RFG6QQ+7442,Z5
-33.45076325,-70.7679724,221.0629,0.8719,47RFG6XJ+MRRH,Z5
-33.44115314,-70.76708721,65.4883,0.653,47RFH65M+G5MR,Z5
-33.44593189,-70.7670514,95.1116,0.8171,47RFH63M+J5GM,Z5
-33.44514102,-70.76102877,36.6112,0.7898,47RFH63Q+WHX6,Z5
-33.43650117,-70.76708113,38.4179,0.7628,47RFH67M+95VV,Z5
-33.44132995,-70.77190366,84.2329,0.8335,47RFH65H+F69R,Z5
-33.43546275,-70.76761594,193.5639,0.8244,47RFH67J+RX6F,Z5
-33.43521649,-70.76859588,44.8188,0.7454,47RFH67J+WH69,Z5
-33.44557525,-70.78471432,32.5389,0.6539,47RFH638+Q47R,Z5
-33.43893616,-70.7670898,89.6401,0.7766,47RFH66M+C5FC,Z5
-33.43073981,-70.76703962,213.4858,0.7971,47RFH69M+P54G,Z5
-33.43163405,-70.77095544,72.689,0.7722,47RFH69H+8JVM,Z5
-33.43849625,-70.76754006,139.5151,0.7109,47RFH66J+JX44,Z5
-33.43494424,-70.76425482,11.4114,0.6888,47RFH68P+27H9,Z5
-33.43689782,-70.76635713,96.6501,0.8267,47RFH67M+6FR4,Z5
-33.43203753,-70.77744346,12.8684,0.7257,47RFH69F+52MH,Z5
-33.4672565,-70.76165119,149.423,0.7811,47RFG6MQ+38XJ,Z5
-33.45725678,-70.76250902,93.0963,0.7683,47RFG6VP+3XXP,Z5
-33.44246493,-70.77367236,83.6966,0.848,47RFH65G+2G8F,Z5
-33.43864333,-70.76455322,49.3685,0.7271,47RFH66P+G5W7,Z5
-33.45871034,-70.76151931,159.4,0.8747,47RFG6RQ+G99F,Z5
-33.43028772,-70.76641312,122.2452,0.8129,47RFH69M+VCPH,Z5
-33.45433961,-70.76658113,121.0995,0.8082,47RFG6WM+797F,Z5
-33.43914213,-70.77130123,86.166,0.8043,47RFH66H+8FW7,Z5
-33.43657196,-70.76554674,36.8509,0.74,47RFH67M+9QG4,Z5
-33.44520732,-70.76516796,126.5528,0.8096,47RFH63M+WW8P,Z5
-33.43700944,-70.76956485,48.3515,0.7135,47RFH67J+55VQ,Z5
-33.4396886,-70.77132717,80.9997,0.8343,47RFH66H+4FFG,Z5
-33.4418808,-70.76701439,39.9671,0.8048,47RFH65M+65XP,Z5
-33.43567102,-70.7856106,70.4233,0.7609,47RFH677+PQJ3,Z5
-33.43419219,-70.76286843,28.0929,0.7437,47RFH68P+8VC6,Z5
-33.44610896,-70.78178772,21.5073,0.7842,47RFH639+H74Q,Z5
-33.43332799,-70.76674303,22.2917,0.739,47RFH68M+M86R,Z5
-33.43015735,-70.7600964,54.5844,0.7755,47RFH69Q+WXJQ,Z5
-33.46336458,-70.78610783,318.4313,0.9234,47RFG6P7+MH2G,Z5
-33.44451212,-70.76648746,94.9777,0.7746,47RFH64M+5CRF,Z5
-33.44414038,-70.77230276,69.3384,0.8467,47RFH64H+83W7,Z5
-33.44393695,-70.76342724,71.0591,0.777,47RFH64P+CJGF,Z5
-33.44215782,-70.78820295,24.1812,0.6729,47RFH656+4PMP,Z5
-33.4459997,-70.7714495,194.798,0.8545,47RFH63H+JC34,Z5
-33.43443105,-70.76548901,323.839,0.826,47RFH68M+6RCM,Z5
-33.43402997,-70.76214804,273.3756,0.7936,47RFH68Q+94QV,Z5
-33.43186935,-70.77078606,46.8805,0.7684,47RFH69H+7M49,Z5
-33.44278904,-70.78776076,25.9355,0.6753,47RFH646+VVQG,Z5
-33.45375702,-70.76312374,35.1402,0.6511,47RFG6WP+FQRJ,Z5
-33.43096834,-70.78147984,352.304,0.9566,47RFH699+JC68,Z5
-33.45386864,-70.76018246,217.3053,0.8475,47RFG6WQ+FW46,Z5
-33.44114244,-70.76132087,46.9015,0.8092,47RFH65Q+GFV8,Z5
-33.4333535,-70.76172665,15.2965,0.7283,47RFH68Q+M82W,Z5
-33.43612587,-70.7764029,92.8844,0.8535,47RFH67F+GCXR,Z5
-33.44205822,-70.76896287,290.547,0.8193,47RFH65J+5CFJ,Z5
-33.44886873,-70.78322432,18.4599,0.6946,47RFH628+FP29,Z5
