latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.40568743,-70.55150829,25.1581,0.6592,47RFHCVX+P9HG,Z2
-33.39771436,-70.55300334,13.8928,0.7103,47RFJC2W+WQ9H,Z2
-33.40423384,-70.55267769,9.0009,0.6581,47RFHCWW+8W4M,Z2
-33.39183259,-70.57869656,109.7443,0.8328,47RFJC5C+7G7P,Z2
-33.39176013,-70.57098532,170.9047,0.7585,47RFJC5H+7JRF,Z2
-33.41658111,-70.58069523,276.7541,0.9326,47RFHCM9+9P7Q,Z2
-33.41247144,-70.55766495,135.0559,0.9012,47RFHCQR+2W84,Z2
-33.39509011,-70.58473297,33.0568,0.8247,47RFJC38+X468,Z2
-33.41943751,-70.59718761,16.0634,0.7085,47RFHCJ3+64FH,Z2
-33.3922846,-70.59567869,90.4368,0.8118,47RFJC53+3PPM,Z2
-33.3917685,-70.57868849,11.9124,0.6767,47RFJC5C+7GV9,Z2
-33.41459672,-70.59265619,298.1274,0.686,47RFHCP4+5W92,Z2
-33.40337312,-70.59396379,898.2962,0.7313,47RFHCW4+MC32,Z2
-33.40360532,-70.55143236,81.0212,0.8765,47RFHCWX+HC4J,Z2
-33.40210821,-70.58012808,237.8343,0.846,47RFHCX9+5W5Q,Z2
-33.41190541,-70.58891414,30.2479,0.6786,47RFHCQ6+6CPP,Z2
-33.39693243,-70.57542472,73.2462,0.7246,47RFJC3F+6RGM,Z2
-33.39760541,-70.59739075,245.0095,0.7422,47RFJC23+X25M,Z2
-33.41037865,-70.5543495,87.0157,0.8545,47RFHCQW+R7RX,Z2
-33.39052504,-70.55558158,8.0474,0.6527,47RFJC5V+QQMV,Z2
-33.41223716,-70.57074624,296.0972,0.8406,47RFHCQH+4P2C,Z2
-33.41871249,-70.55067682,210.2721,0.8368,47RFHCJX+GP8F,Z2
-33.41145962,-70.55913228,15.5278,0.7187,47RFHCQR+C89Q,Z2
-33.39523412,-70.57029957,115.04,0.8829,47RFJC3H+WV4M,Z2
-33.39907758,-70.56111878,101.4529,0.8058,47RFJC2Q+9H6R,Z2
-33.41731615,-70.55083711,10.7607,0.7135,47RFHCMX+3MF6,Z2
-33.40677358,-70.55216464,33.6612,0.6746,47RFHCVX+74W4,Z2
-33.39268048,-70.59586508,22.702,0.7341,47RFJC43+WMCM,Z2
-33.39613998,-70.55311743,21.3056,0.7603,47RFJC3W+GQRC,Z2
-33.39115536,-70.57755741,52.0945,0.8619,47RFJC5C+GXPJ,Z2
-33.41862656,-70.57910665,11.7828,0.6501,47RFHCJC+G9RW,Z2
-33.40083768,-70.5868801,648.3571,0.7333,47RFHCX7+M69H,Z2
-33.41607367,-70.55348362,28.945,0.67,47RFHCMW+HJC4,Z2
-33.40058025,-70.55764775,171.0853,0.8709,47RFHCXR+QW9M,Z2
-33.41233357,-70.58877585,433.4082,0.8855,47RFHCQ6+3F9J,Z2
-33.39068382,-70.59281165,16.7869,0.7368,47RFJC54+PVGJ,Z2
-33.41234602,-70.56271252,15.5789,0.6935,47RFHCQP+3W72,Z2
-33.41408696,-70.56046488,51.4363,0.728,47RFHCPQ+9R7C,Z2
-33.39150073,-70.59945441,44.5046,0.7453,47RFJC52+96VV,Z2
-33.40458575,-70.55481806,37.6159,0.6985,47RFHCWW+537H,Z2
-33.40828478,-70.55705987,156.1444,0.8183,47RFHCRV+M5PJ,Z2
-33.39540133,-70.57052621,14.8392,0.7142,47RFJC3H+RQQR,Z2
-33.40013826,-70.55556136,583.0614,0.8938,47RFHCXV+WQWC,Z2
-33.41142747,-70.5776097,88.2846,0.8828,47RFHCQC+CXCV,Z2
-33.41471356,-70.55624258,122.3727,0.8242,47RFHCPV+4G6C,Z2
-33.41708408,-70.57013538,52.8859,0.7497,47RFHCMH+5W9P,Z2
-33.40972372,-70.55282632,50.6358,0.7824,47RFHCRW+4V74,Z2
-33.41100046,-70.55908511,52.607,0.7965,47RFHCQR+H9VV,Z2
-33.4186256,-70.56569352,12.4178,0.7198,47RFHCJM+GPVX,Z2
-33.39268271,-70.55253443,104.6857,0.8755,47RFJC4W+WXGQ,Z2
-33.41347754,-70.56484309,16.8464,0.6846,47RFHCPP+J33R,Z2
-33.41122237,-70.55346122,85.8586,0.8041,47RFHCQW+GJ72,Z2
-33.39251754,-70.57036876,21.6418,0.7167,47RFJC4H+XVR6,Z2
-33.39942719,-70.5588377,149.9975,0.8391,47RFJC2R+6FFR,Z2
-33.40303109,-70.58849496,20.3351,0.7373,47RFHCW6+QJJJ,Z2
-33.41327328,-70.55606312,138.8388,0.8172,47RFHCPV+MHV5,Z2
-33.40180661,-70.56549132,13.3115,0.7231,47RFHCXM+7RCM,Z2
-33.39464951,-70.58262259,9.011,0.686,47RFJC48+4XR2,Z2
-33.41425243,-70.58001148,153.5561,0.9017,47RFHCP9+7XXW,Z2
-33.39460725,-70.56306863,192.4566,0.8027,47RFJC4P+5Q3Q,Z2
-33.4006303,-70.58768229,17.3436,0.6654,47RFHCX6+PWWJ,Z2
-33.39747687,-70.55232049,215.987,0.8431,47RFJC3X+233W,Z2
-33.39624848,-70.5806437,400.7646,0.9347,47RFJC39+GP53,Z2
-33.39573792,-70.57381249,64.4315,0.7456,47RFJC3G+PF4C,Z2
-33.41011118,-70.55271787,129.3558,0.7648,47RFHCQW+XW3C,Z2
-33.41632192,-70.59706146,63.3487,0.7081,47RFHCM3+F5G2,Z2
-33.40623139,-70.58405394,12.6909,0.733,47RFHCV8+G94M,Z2
-33.40588616,-70.57957438,76.7507,0.6546,47RFHCVC+J5VG,Z2
-33.41200036,-70.56812849,174.7781,0.8946,47RFHCQJ+5PXX,Z2
-33.41963415,-70.59374832,53.5305,0.7639,47RFHCJ4+4GRJ,Z2
-33.41740791,-70.55662187,113.5468,0.7372,47RFHCMV+29JJ,Z2
-33.39037154,-70.57520404,113.6922,0.8846,47RFJC5F+VW33,Z2
-33.40046454,-70.5840757,58.3325,0.8041,47RFHCX8+R97G,Z2
