latitude,longitude,area_in_meters,confidence,full_plus_code,zone_id
-33.43412223,-70.65919903,1613.7876,0.7968,47RFH88R+9834,Z4
-33.43604286,-70.66580558,90.0696,0.8839,47RFH87M+HMP6,Z4
-33.45668937,-70.63954773,129.3928,0.8184,47RFG9V6+85GF,Z4
-33.43212302,-70.63968307,160.6019,0.8636,47RFH996+5442,Z4
-33.43137387,-70.63770919,299.6959,0.7975,47RFH996+FW33,Z4
-33.44147365,-70.66715625,42.6993,0.7253,47RFH85M+C492,Z4
-33.44476613,-70.65817077,247.0011,0.8426,47RFH84R+3PW8,Z4
-33.44144045,-70.63958989,965.3357,0.9067,47RFH956+C5F6,Z4
-33.43053836,-70.65365624,52.8958,0.8392,47RFH89W+QGQC,Z4
-33.445484,-70.65052642,91.8207,0.6714,47RFH83X+RQ5J,Z4
-33.45276939,-70.64048035,40.8403,0.7237,47RFG9W5+VRR8,Z4
-33.44172249,-70.66836888,29.6755,0.7068,47RFH85J+8M62,Z4
-33.43011114,-70.64954751,14973.1109,0.9438,47RFH992+X54F,Z4
-33.45865694,-70.64003488,158.9006,0.7454,47RFG9R5+GXPQ,Z4
-33.43612807,-70.64605488,178.6624,0.8519,47RFH973+GHWR,Z4
-33.44952186,-70.66292128,146.8284,0.866,47RFH82P+5RW4,Z4
-33.45648407,-70.66447608,138.8918,0.779,47RFG8VP+C62Q,Z4
-33.43683936,-70.65546993,73.7286,0.7276,47RFH87V+7R6H,Z4
-33.43921877,-70.64537064,148.1266,0.8065,47RFH963+8V66,Z4
-33.44680532,-70.64312009,77.6166,0.8285,47RFH934+7QCJ,Z4
-33.44599137,-70.65582336,19.1735,0.6909,47RFH83V+JM38,Z4
-33.4320247,-70.63049785,81.0914,0.7501,47RFH999+5RR2,Z4
-33.43337131,-70.64015148,54.4915,0.785,47RFH985+MW52,Z4
-33.45475165,-70.64700323,233.6229,0.8693,47RFG9W3+35XX,Z4
-33.43149671,-70.66616178,42.2133,0.6601,47RFH89M+CG45,Z4
-33.44043652,-70.63735369,67.6328,0.8203,47RFH957+R3CG,Z4
-33.45902299,-70.65304879,63.4857,0.7712,47RFG8RW+9QW3,Z4
-33.45217651,-70.63637866,353.7742,0.8176,47RFG9X7+4CHX,Z4
-33.43134009,-70.6432131,110.6377,0.8527,47RFH994+FP76,Z4
-33.44474194,-70.66600667,72.6396,0.6681,47RFH84M+4H59,Z4
-33.45859533,-70.63230695,222.7514,0.784,47RFG9R9+H382,Z4
-33.43765725,-70.64250827,466.5114,0.739,47RFH964+WXQP,Z4
-33.45899406,-70.63146011,589.301,0.9011,47RFG9R9+CC37,Z4
-33.44371035,-70.66341757,748.7972,0.8762,47RFH84P+GJ8G,Z4
-33.4389587,-70.64150587,13.4003,0.6937,47RFH965+C99Q,Z4
-33.43033244,-70.63600779,9.7671,0.6959,47RFH997+VH9Q,Z4
-33.45692218,-70.64076041,52.472,0.722,47RFG9V5+6MQ4,Z4
-33.44223918,-70.6636764,73.7504,0.7685,47RFH85P+4G4F,Z4
-33.43516952,-70.65726311,64.5427,0.7563,47RFH87V+W3Q8,Z4
-33.43106811,-70.63083582,263.1247,0.9053,47RFH999+HMF7,Z4
-33.44344544,-70.66230364,13.4666,0.7307,47RFH84Q+J3G3,Z4
-33.4394509,-70.66777928,60.3343,0.859,47RFH86J+6V9R,Z4
-33.45396585,-70.65137362,294.0506,0.927,47RFG8WX+CF66,Z4
-33.43058535,-70.64302406,31.6502,0.7889,47RFH994+QQ9C,Z4
-33.4334248,-70.66166614,19.7353,0.7912,47RFH88Q+J8P4,Z4
-33.4347672,-70.63269365,487.7402,0.7756,47RFH988+3WV9,Z4
-33.45179817,-70.66261929,58.8549,0.7408,47RFG8XP+7XJ2,Z4
-33.45625517,-70.6313879,1055.7839,0.92,47RFG9V9+FCXP,Z4
-33.44193231,-70.66534167,141.3536,0.8537,47RFH85M+6VFJ,Z4
-33.44647986,-70.65851205,564.8141,0.895,47RFH83R+CH5W,Z4
-33.45626895,-70.66855525,50.8443,0.822,47RFG8VJ+FHW6,Z4
-33.45826281,-70.66413018,123.7032,0.877,47RFG8RP+M8XH,Z4
-33.44642611,-70.65762218,211.3981,0.9108,47RFH83R+CXCR,Z4
-33.44698457,-70.63733908,38.994,0.7362,47RFH937+633J,Z4
-33.43137204,-70.66437393,100.9232,0.8159,47RFH89P+F722,Z4
-33.44242467,-70.64923877,56.66,0.7033,47RFH952+28J3,Z4
-33.45735131,-70.65446394,182.8722,0.7654,47RFG8VW+363R,Z4
-33.4389718,-70.63410109,28.1625,0.7199,47RFH968+C965,Z4
-33.45923785,-70.63630576,13.2292,0.7683,47RFG9R7+8F4C,Z4
-33.43868991,-70.65461926,218.0494,0.8357,47RFH86W+G5CC,Z4
-33.43049339,-70.63102989,45.3836,0.8295,47RFH999+RH56,Z4
-33.45766873,-70.65059824,566.8173,0.8137,47RFG8RX+WQJ9,Z4
-33.45838061,-70.65441499,115.6742,0.8138,47RFG8RW+J6WP,Z4
-33.45312622,-70.66316232,596.2366,0.8436,47RFG8WP+PPWX,Z4
-33.44827241,-70.64276471,45.2772,0.6723,47RFH924+MVX4,Z4
-33.43164986,-70.66269906,246.141,0.7453,47RFH89P+8WV4,Z4
-33.43700076,-70.63580669,404.6357,0.8184,47RFH977+5MWR,Z4
-33.43407665,-70.63229424,68.1344,0.774,47RFH989+938W,Z4
-33.44283542,-70.66243172,640.3676,0.8784,47RFH84Q+V28C,Z4
-33.45800232,-70.65313564,275.15,0.8028,47RFG8RW+QPXW,Z4
-33.45323257,-70.63960347,48.1452,0.779,47RFG9W6+P52P,Z4
-33.4454272,-70.66625322,231.4274,0.8526,47RFH83M+RFHX,Z4
-33.4405693,-70.63312529,88.1425,0.828,47RFH958+QPH9,Z4
-33.45118732,-70.63881768,134.8913,0.8827,47RFG9X6+GFFH,Z4
-33.45627252,-70.65591885,50.8193,0.7615,47RFG8VV+FJW4,Z4
-33.45495812,-70.66216252,90.1127,0.8803,47RFG8WQ+248Q,Z4
-33.45271463,-70.6623516,26.5039,0.6507,47RFG8WQ+W36G,Z4
-33.44079885,-70.64542685,125.5204,0.707,47RFH953+MRP3,Z4
-33.45580585,-70.63533813,99.0674,0.7376,47RFG9V7+MVFJ,Z4
-33.44845229,-70.64373181,184.883,0.8679,47RFH924+JG6W,Z4
-33.45210141,-70.66018011,820.5016,0.8252,47RFG8XQ+5W4R,Z4
-33.43654165,-70.65711671,396.8236,0.8567,47RFH87V+95J7,Z4
-33.44469646,-70.64637482,92.3109,0.7857,47RFH943+4FC2,Z4
-33.45369998,-70.64041887,45.8476,0.7556,47RFG9W5+GRG4,Z4
-33.43672666,-70.65244036,41.5491,0.6898,47RFH87X+823X,Z4
-33.44347717,-70.66529489,176.4038,0.8468,47RFH84M+JV4W,Z4
-33.45803932,-70.63188203,67.9566,0.8255,47RFG9R9+Q6QH,Z4
-33.45534284,-70.65276973,47.7503,0.7659,47RFG8VW+VV97,Z4
-33.44327723,-70.66931416,169.4159,0.8823,47RFH84J+M7MX,Z4
-33.45745413,-70.6406986,111.0505,0.767,47RFG9V5+2P7W,Z4
-33.43303222,-70.63221777,133.2582,0.8868,47RFH989+Q4MJ,Z4
-33.45500001,-70.63598934,224.7773,0.8636,47RFG9V7+XJRV,Z4
-33.4429806,-70.64570171,205.7345,0.7092,47RFH943+RP3P,Z4
-33.4520806,-70.65891678,51.3311,0.75,47RFG8XR+5C8P,Z4
-33.4598546,-70.6436329,12.7396,0.7123,47RFG9R4+3G5W,Z4
-33.45559369,-70.64957669,375.2941,0.8948,47RFG9V2+Q578,Z4
-33.45843555,-70.64839062,44.9242,0.6703,47RFG9R2+JJHG,Z4
-33.45704529,-70.64084346,19.7859,0.7621,47RFG9V5+5MM2,Z4
-33.45927961,-70.64061359,16.4398,0.6872,47RFG9R5+7QJV,Z4
-33.44670753,-70.65204886,479.712,0.9051,47RFH83X+858M,Z4
-33.43051309,-70.65567544,26.6839,0.7405,47RFH89V+QPWF,Z4
-33.43142886,-70.66464906,11.4334,0.683,47RFH89P+C4HR,Z4
-33.44905005,-70.6628528,158.1769,0.7934,47RFH82P+9VCW,Z4
-33.43812947,-70.66365696,980.2642,0.836,47RFH86P+PGWX,Z4
-33.43813501,-70.66779973,644.7649,0.8735,47RFH86J+PVWF,Z4
-33.43777346,-70.66914356,145.0031,0.8701,47RFH86J+V8X3,Z4
-33.45364955,-70.64818594,176.6196,0.7946,47RFG9W2+GPW2,Z4
-33.43236394,-70.63035635,50.2965,0.8127,47RFH999+3V2G,Z4
-33.43136061,-70.63492288,63.4499,0.6731,47RFH998+F24F,Z4
-33.43841785,-70.64112983,25.584,0.6656,47RFH965+JGQ9,Z4
-33.44686006,-70.64807897,179.485,0.8222,47RFH932+7Q3F,Z4
-33.44671569,-70.6375432,18.2861,0.6816,47RFH936+8X88,Z4
-33.43855314,-70.63719192,441.6687,0.7931,47RFH967+H4FX,Z4
-33.44952949,-70.64248611,625.4786,0.915,47RFH925+52JV,Z4
-33.43035146,-70.64508914,98.0884,0.8272,47RFH993+VX3R,Z4
-33.43670677,-70.66154718,28.252,0.7853,47RFH87Q+898M,Z4
-33.44435125,-70.66260511,54.0055,0.7089,47RFH84P+7X2W,Z4
-33.45341518,-70.66351446,198.8036,0.8064,47RFG8WP+JHQ8,Z4
-33.45447889,-70.6330436,32.1985,0.6939,47RFG9W8+6Q4W,Z4
-33.44827323,-70.65649011,164.7289,0.8429,47RFH82V+MCR3,Z4
-33.44978632,-70.63216281,70.3358,0.7205,47RFH929+34PH,Z4
-33.44208089,-70.65618734,54.8119,0.7291,47RFH85V+5G8J,Z4
-33.43768405,-70.64504149,548.6243,0.822,47RFH963+WXGP,Z4
-33.4463759,-70.65460058,131.8388,0.8785,47RFH83W+C5RX,Z4
-33.44667218,-70.65664346,76.3532,0.7384,47RFH83V+88Q3,Z4
-33.4539008,-70.6425731,72.6684,0.7956,47RFG9W4+CXMW,Z4
-33.45904984,-70.64457214,137.7203,0.7962,47RFG9R4+95M4,Z4
-33.45402533,-70.64344205,76.6621,0.8768,47RFG9W4+9JMX,Z4
-33.43104548,-70.64177795,88.3713,0.7535,47RFH995+H7Q2,Z4
-33.43544442,-70.65360636,189.6204,0.808,47RFH87W+RHC8,Z4
-33.4352195,-70.66524779,83.0426,0.7792,47RFH87M+WW66,Z4
-33.44721607,-70.6541119,35.2017,0.666,47RFH83W+4967,Z4
-33.4313932,-70.64331565,100.2582,0.8781,47RFH994+CMV9,Z4
-33.43715293,-70.64805912,281.1296,0.7326,47RFH972+4QPR,Z4
-33.44111147,-70.66784836,29.7347,0.6998,47RFH85J+HV2H,Z4
-33.43828219,-70.66262213,166.7075,0.8476,47RFH86P+MXJJ,Z4
-33.45836578,-70.63494377,127.8231,0.7882,47RFG9R8+M239,Z4
-33.43579743,-70.66400618,1080.9656,0.8962,47RFH87P+M9Q5,Z4
-33.45720495,-70.64659291,38.5626,0.722,47RFG9V3+497R,Z4
-33.4516864,-70.63884678,103.4397,0.8596,47RFG9X6+8FCH,Z4
-33.43505375,-70.65488646,466.3927,0.8158,47RFH87W+X2HW,Z4
-33.43581099,-70.66303615,41.8908,0.6739,47RFH87P+MQGH,Z4
-33.45057143,-70.6633145,269.6058,0.6897,47RFG8XP+QMF5,Z4
-33.44140634,-70.64709293,182.5402,0.7226,47RFH953+C5MJ,Z4
-33.4399426,-70.64468097,18.5468,0.7258,47RFH964+24G6,Z4
-33.44349983,-70.65660338,81.3745,0.7967,47RFH84V+J924,Z4
-33.44194834,-70.64252846,59.8727,0.7678,47RFH954+6XH2,Z4
-33.45613814,-70.64324107,14.3043,0.7332,47RFG9V4+GPRF,Z4
-33.4470897,-70.66640125,289.683,0.7726,47RFH83M+5C9C,Z4
-33.43091005,-70.64815759,67.8875,0.8144,47RFH992+JPPH,Z4
-33.43151332,-70.66674992,80.8472,0.7774,47RFH89M+98RC,Z4
-33.43123679,-70.63657212,55.159,0.8108,47RFH997+G93G,Z4
-33.45464366,-70.66572588,242.9558,0.8775,47RFG8WM+4PR9,Z4
-33.44818644,-70.64198459,31.6165,0.6646,47RFH925+P6CF,Z4
-33.43141692,-70.64196211,171.982,0.7918,47RFH995+C6M6,Z4
-33.4451091,-70.6518617,75.9687,0.7456,47RFH83X+X72M,Z4
-33.45657248,-70.64118638,150.2276,0.8875,47RFG9V5+9GG2,Z4
